NoG,Events,Fold,Error
2,Train,Surface,0.02515375099487995
2,Validation,Surface,0.04378913236515863
3,Train,Surface,0.009544755111595518
3,Validation,Surface,0.01797426731458732
4,Train,Surface,0.004826317970199804
4,Validation,Surface,0.009753368927964143
5,Train,Surface,0.0029394541389161817
5,Validation,Surface,0.006047857725726706
6,Train,Surface,0.002980124603613819
6,Validation,Surface,0.005898305547556707
7,Train,Surface,0.002635604646792145
7,Validation,Surface,0.005510713505957808
8,Train,Surface,0.002616009754618924
8,Validation,Surface,0.00492963580680745
9,Train,Surface,0.0021655532059651848
9,Validation,Surface,0.0045064931203212056
10,Train,Surface,0.002076499228439245
10,Validation,Surface,0.004977192530142409
