NoG,Events,Fold,Error
2,Train,Lung,0.024379612877964973
2,Validation,Lung,0.04360788368753025
3,Train,Lung,0.009390350602763263
3,Validation,Lung,0.017615345971924917
4,Train,Lung,0.004839455108403375
4,Validation,Lung,0.009147675707936287
5,Train,Lung,0.0032235998660326004
5,Validation,Lung,0.006308522607598986
6,Train,Lung,0.0032729420590361484
6,Validation,Lung,0.006007462274283171
7,Train,Lung,0.0029848640000349597
7,Validation,Lung,0.00573898505951677
8,Train,Lung,0.002429608172908621
8,Validation,Lung,0.00430711977449911
9,Train,Lung,0.0035086996105842686
9,Validation,Lung,0.006254593109978097
10,Train,Lung,0.0027276326742905533
10,Validation,Lung,0.005240858465965305
