NoG,Events,Val_g,Error
2,Train,0.85,0.22976536363363265
2,Validation,0.85,0.06171006623368997
3,Train,0.85,0.054267444238066675
3,Validation,0.85,0.07465373151577435
4,Train,0.85,0.07872129514813424
4,Validation,0.85,0.047116769621005423
5,Train,0.85,0.07701963119208813
5,Validation,0.85,0.029463000452289216
6,Train,0.85,0.035426086336374285
6,Validation,0.85,0.07514542957338002
7,Train,0.85,0.14031348183751105
7,Validation,0.85,0.04310341107730682
8,Train,0.85,0.07241852171719074
8,Validation,0.85,0.05249801349754517
9,Train,0.85,0.03711364965885878
9,Validation,0.85,0.041292913687916905
10,Train,0.85,0.021667483914643525
10,Validation,0.85,0.09862816247802514
11,Train,0.85,0.23581788346171378
11,Validation,0.85,0.03260154133805862
12,Train,0.85,0.096544623747468
12,Validation,0.85,0.04088180254285152
