Tissue,a,b,SB,x,SW,ua,rus,us,g,lamda
Adipose,38.0,0.53,0.0033,0.7,0.5,0.003833489284093023,1.2077135841207063,,,315.04290076721657
Bone,35600.0,1.47,0.049,0.8,0.15,0.060291926491162794,2.495284322523558,,,41.38670743734322
Bowel,3670.0,1.24,0.0093,0.8,0.5,0.011650163497302324,1.1490351356066457,,,98.62824121504498
Heart,10600.0,1.43,0.05,0.75,0.5,0.05832579674418604,0.9638709635106594,,,16.525637321992328
Kidneys,41700.0,1.51,0.056,0.75,0.8,0.06543025235348836,2.2530099146534113,,,34.433764713018014
Liver,629.0,1.05,0.3,0.75,0.7,0.34894508046511624,0.6780662097549394,,,1.9431889076961069
Lung,68.4,0.53,0.15,0.85,0.85,0.19478534032558137,2.1738844514172717,,,11.16041098259063
Muscle,40000000.0,2.82,0.07,0.8,0.5,0.08625675213023257,0.4290708866115261,,,4.974345497772792
Skin,2850.0,1.1,0.06,0.75,0.5,0.06994705609302324,2.219026951446954,,,31.724379486333916
Stomach,792.0,0.97,0.01,0.7,0.8,0.011302682679069765,1.4369201103435634,,,127.13089017392683
Blood,133.0,0.66,1.0,0.75,0.0,1.1621259348837207,1.8140208363670942,,,1.5609503083231684
