Epoch,Events,Error
1,Train,0.337786879864606
2,Train,0.1342780735005032
3,Train,0.10296435640616851
4,Train,0.08588681871240789
5,Train,0.06967869638042017
6,Train,0.07063279781829226
7,Train,0.06512602052905343
8,Train,0.05463141649961471
9,Train,0.04539488205178217
10,Train,0.04106145226819949
11,Train,0.02700214833021164
12,Train,0.023336242173205724
13,Train,0.022123487801714376
14,Train,0.01879061387682503
15,Train,0.02074598470194773
16,Train,0.018629692020741377
17,Train,0.019257291389459915
18,Train,0.01753278054635633
19,Train,0.01849467796696858
20,Train,0.01772895717824047
21,Train,0.01722573148594661
22,Train,0.016933301954784177
23,Train,0.016887107118964195
24,Train,0.017566367763687262
25,Train,0.016256636584346944
26,Train,0.01652962589128451
27,Train,0.01688383606008508
28,Train,0.01679089856757359
29,Train,0.01568626290695234
30,Train,0.016452143171971495
