Epoch,Events,Error
1,Train,0.35516139695590193
1,Validation,0.24252835322510113
2,Train,0.17323574965650385
2,Validation,0.17079262299971146
3,Train,0.12771189280531622
3,Validation,0.13470303334973074
4,Train,0.11588802510364489
4,Validation,0.10863656144250523
5,Train,0.10050879249518568
5,Validation,0.09438393671404231
6,Train,0.09045623937113718
6,Validation,0.13551042499867352
7,Train,0.0958315081555735
7,Validation,0.0891930257732218
8,Train,0.08411992984739217
8,Validation,0.10776718638160011
9,Train,0.07875620920888403
9,Validation,0.07770903577858751
10,Train,0.06798955374820666
10,Validation,0.16154873912984674
11,Train,0.05667196662927216
11,Validation,0.05364821072329174
12,Train,0.05204744188284332
12,Validation,0.05159061300483617
13,Train,0.05061558913439512
13,Validation,0.05166787958957932
14,Train,0.04948546923696995
14,Validation,0.04887803237546574
15,Train,0.04900783986191858
15,Validation,0.04833991080522537
16,Train,0.048479008827019825
16,Validation,0.053666821934960106
17,Train,0.047751248221505775
17,Validation,0.05566705966537649
18,Train,0.04849757414988496
18,Validation,0.04938243397257545
19,Train,0.047802441330118614
19,Validation,0.0509599894285202
20,Train,0.04728985527022318
20,Validation,0.04628631574186412
21,Train,0.04587470232085748
21,Validation,0.045273260975425896
22,Train,0.04548890304497697
22,Validation,0.0450802624902942
23,Train,0.045753291130743244
23,Validation,0.04516834393143654
24,Train,0.045152811841531235
24,Validation,0.04489618404345079
25,Train,0.04542455898428505
25,Validation,0.04513875530524687
26,Train,0.04505043510686268
26,Validation,0.04479180682789196
27,Train,0.044846163131296635
27,Validation,0.04492299123243852
28,Train,0.044916977089914406
28,Validation,0.0449934144589034
29,Train,0.04516500615599481
29,Validation,0.0446873889728026
30,Train,0.04482827377928929
30,Validation,0.044797668741507965
